epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,255.03,0.68673,0.90517,1.0438,0.84044,0.48538,0.54131,0.27388,1.72459,2.00169,1.44479,2.46073e-05,2.46073e-05,2.46073e-05
74,258.006,0.72436,0.59343,1.21948,0.84044,0.48538,0.54131,0.27388,1.72459,2.00169,1.44479,2.40891e-05,2.40891e-05,2.40891e-05
75,260.996,0.72626,0.55228,1.13817,0.84033,0.48256,0.54717,0.26849,1.77616,1.9955,1.46501,2.35472e-05,2.35472e-05,2.35472e-05
76,264.493,0.63396,0.73318,1.12754,0.84033,0.48256,0.54717,0.26849,1.77616,1.9955,1.46501,2.29819e-05,2.29819e-05,2.29819e-05
77,267.394,0.68033,0.65826,1.11153,0.84033,0.48256,0.54717,0.26849,1.77616,1.9955,1.46501,2.23929e-05,2.23929e-05,2.23929e-05
78,270.412,0.87311,1.00232,1.18418,0.83375,0.48807,0.54418,0.26804,1.74041,2.0146,1.44885,2.17805e-05,2.17805e-05,2.17805e-05
79,273.735,0.58775,0.74744,1.08319,0.83375,0.48807,0.54418,0.26804,1.74041,2.0146,1.44885,2.11444e-05,2.11444e-05,2.11444e-05
80,276.62,0.72101,0.72342,1.17981,0.83375,0.48807,0.54418,0.26804,1.74041,2.0146,1.44885,2.04848e-05,2.04848e-05,2.04848e-05
81,279.537,0.51241,0.50365,0.97375,0.84254,0.47988,0.53434,0.26542,1.77719,2.05608,1.47596,1.98016e-05,1.98016e-05,1.98016e-05
82,282.994,0.80738,0.67131,1.14318,0.84254,0.47988,0.53434,0.26542,1.77719,2.05608,1.47596,1.90949e-05,1.90949e-05,1.90949e-05
83,285.959,0.76608,0.82176,1.19638,0.84254,0.47988,0.53434,0.26542,1.77719,2.05608,1.47596,1.83646e-05,1.83646e-05,1.83646e-05
84,289.923,0.78346,0.56593,1.20383,0.84079,0.48403,0.53731,0.26772,1.82612,2.0848,1.50247,1.76107e-05,1.76107e-05,1.76107e-05
85,294.327,0.5659,0.7275,1.10834,0.84079,0.48403,0.53731,0.26772,1.82612,2.0848,1.50247,1.68333e-05,1.68333e-05,1.68333e-05
86,297.399,0.73614,0.66178,1.1012,0.84079,0.48403,0.53731,0.26772,1.82612,2.0848,1.50247,1.60323e-05,1.60323e-05,1.60323e-05
87,300.868,0.75006,0.79201,1.04986,0.84079,0.48403,0.53731,0.26772,1.82612,2.0848,1.50247,1.52077e-05,1.52077e-05,1.52077e-05
88,303.986,0.7898,0.85801,1.37926,0.83893,0.48377,0.53423,0.28424,1.83438,2.07697,1.50402,1.43596e-05,1.43596e-05,1.43596e-05
89,309.605,0.99024,0.92408,1.47931,0.83893,0.48377,0.53423,0.28424,1.83438,2.07697,1.50402,1.34879e-05,1.34879e-05,1.34879e-05
90,317.925,0.64899,0.6422,1.01085,0.83893,0.48377,0.53423,0.28424,1.83438,2.07697,1.50402,1.25927e-05,1.25927e-05,1.25927e-05
91,322.085,0.45878,0.52102,0.88974,0.83893,0.48377,0.53423,0.28424,1.83438,2.07697,1.50402,1.16739e-05,1.16739e-05,1.16739e-05
92,325.657,0.71328,0.69827,0.99409,0.83646,0.48438,0.53533,0.27843,1.83905,2.03392,1.48958,1.07315e-05,1.07315e-05,1.07315e-05
93,329.308,0.47777,0.4578,0.98689,0.83646,0.48438,0.53533,0.27843,1.83905,2.03392,1.48958,9.76562e-06,9.76562e-06,9.76562e-06
94,332.523,0.54992,0.43445,0.88727,0.83646,0.48438,0.53533,0.27843,1.83905,2.03392,1.48958,8.77613e-06,8.77613e-06,8.77613e-06
95,335.901,0.43542,0.45178,0.89772,0.83646,0.48438,0.53533,0.27843,1.83905,2.03392,1.48958,7.76308e-06,7.76308e-06,7.76308e-06
96,339.501,0.43951,0.50709,0.96148,0.84163,0.46619,0.55784,0.30539,1.75659,1.95946,1.44224,6.72648e-06,6.72648e-06,6.72648e-06
97,344.342,0.68944,0.60492,1.04752,0.84163,0.46619,0.55784,0.30539,1.75659,1.95946,1.44224,5.6663e-06,5.6663e-06,5.6663e-06
98,347.216,0.51774,0.48319,0.90881,0.84163,0.46619,0.55784,0.30539,1.75659,1.95946,1.44224,4.58257e-06,4.58257e-06,4.58257e-06
99,350.843,0.47578,0.46048,0.90888,0.84163,0.46619,0.55784,0.30539,1.75659,1.95946,1.44224,3.47528e-06,3.47528e-06,3.47528e-06
100,354.263,0.55761,0.49239,1.00429,0.55983,0.50652,0.60766,0.3397,1.71089,1.87915,1.41367,2.34442e-06,2.34442e-06,2.34442e-06
